title:White Rice's Wishlist



//double perks
dimwishlist:item=4248569242&perks=3523296417,469285294#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=4248569242&perks=1523832109,469285294#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=4248569242&perks=3523296417,1523832109#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=4248569242&perks=1523832109,3523296417#notes:Reconstruction,Demolitionist | Recombination
dimwishlist:item=92459755&perks=1354429876,3708227201#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1354429876,3751912585#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1354429876,1546637391#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1523832109,3708227201#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1523832109,3751912585#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1523832109,1546637391#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1354429876,1523832109#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1523832109,1354429876#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=3708227201,3751912585#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=3708227201,1546637391#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=3751912585,3708227201#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=3751912585,1546637391#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1546637391,3708227201#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=92459755&perks=1546637391,3751912585#notes:Reconstruction,Fourth Time's the Charm | Vorpal Weapon,Surrounded,Cascade Point
dimwishlist:item=2531963421&perks=3400784728,2896038713#notes:Triple Tap | Surrounded,Focused Fury
dimwishlist:item=2531963421&perks=3400784728,3708227201#notes:Triple Tap | Surrounded,Focused Fury
dimwishlist:item=2531963421&perks=2896038713,3708227201#notes:Triple Tap | Surrounded,Focused Fury
dimwishlist:item=2531963421&perks=3708227201,2896038713#notes:Triple Tap | Surrounded,Focused Fury
dimwishlist:item=3753063346&perks=3017780555,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3017780555,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3017780555,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3300816228,1546637391#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3993379141,3751912585#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
dimwishlist:item=3753063346&perks=3993379141,4293542123#notes:Auto-Loading Holster,Heal Clip,Deconstruct | Vorpal Weapon,Cascade Point,Incandescent
